dt,AverageTemperature,Country
1821-09-01,16.968999999999998,Turkey
1821-10-01,11.864,Turkey
1821-11-01,6.973,Turkey
1821-12-01,3.132,Turkey
1822-01-01,1.886,Turkey
1822-02-01,0.742,Turkey
1822-03-01,5.558,Turkey
1822-04-01,9.54,Turkey
1822-05-01,13.561,Turkey
1822-06-01,19.35,Turkey
1822-07-01,22.413,Turkey
1822-08-01,21.70300000000001,Turkey
1822-09-01,17.269000000000002,Turkey
1822-10-01,12.117,Turkey
1822-11-01,6.5909999999999975,Turkey
1822-12-01,-0.254,Turkey
1823-01-01,-0.278,Turkey
1823-02-01,2.992,Turkey
1823-03-01,6.355,Turkey
1823-04-01,9.458,Turkey
1823-05-01,15.074000000000002,Turkey
1823-06-01,20.376,Turkey
1823-07-01,22.704,Turkey
1823-08-01,22.155,Turkey
1823-09-01,16.721,Turkey
1823-10-01,11.389000000000001,Turkey
1823-11-01,6.391,Turkey
1823-12-01,3.34,Turkey
1824-01-01,1.764,Turkey
1824-02-01,2.095,Turkey
1824-03-01,6.752000000000002,Turkey
1824-04-01,9.816,Turkey
1824-05-01,15.365,Turkey
1824-06-01,19.963,Turkey
1824-07-01,22.512,Turkey
1824-08-01,23.393,Turkey
1824-09-01,18.908,Turkey
1824-10-01,13.681,Turkey
1824-11-01,8.157,Turkey
1824-12-01,5.09,Turkey
1825-01-01,-0.1279999999999999,Turkey
1825-02-01,0.12400000000000012,Turkey
1825-03-01,3.092,Turkey
1825-04-01,8.777999999999999,Turkey
1825-05-01,14.224,Turkey
1825-06-01,19.315,Turkey
1825-07-01,22.014,Turkey
1825-08-01,22.109,Turkey
1825-09-01,17.869,Turkey
1825-10-01,12.064,Turkey
1825-11-01,10.474,Turkey
1825-12-01,4.13,Turkey
1826-01-01,0.5429999999999999,Turkey
1826-02-01,-1.3630000000000002,Turkey
1826-03-01,4.048,Turkey
1826-04-01,8.401,Turkey
1826-05-01,13.890999999999998,Turkey
1826-06-01,17.996000000000006,Turkey
1826-07-01,23.324,Turkey
1826-08-01,22.573,Turkey
1826-09-01,18.407,Turkey
1826-10-01,11.811,Turkey
1826-11-01,8.995,Turkey
1826-12-01,4.6789999999999985,Turkey
1827-01-01,3.082,Turkey
1827-02-01,2.108,Turkey
1827-03-01,7.056,Turkey
1827-04-01,10.088,Turkey
1827-05-01,14.962,Turkey
1827-06-01,20.492,Turkey
1827-07-01,23.921,Turkey
1827-08-01,23.228,Turkey
1827-09-01,17.134999999999998,Turkey
1827-10-01,13.694,Turkey
1827-11-01,8.664,Turkey
1827-12-01,2.39,Turkey
1828-01-01,-2.2510000000000003,Turkey
1828-02-01,-0.6119999999999997,Turkey
1828-03-01,6.791,Turkey
1828-04-01,10.61,Turkey
1828-05-01,14.825999999999999,Turkey
1828-06-01,20.738000000000003,Turkey
1828-07-01,24.019,Turkey
1828-08-01,23.002,Turkey
1828-09-01,16.590999999999998,Turkey
1828-10-01,11.691,Turkey
1828-11-01,7.891,Turkey
1828-12-01,0.7410000000000001,Turkey
1829-01-01,-0.03499999999999992,Turkey
1829-02-01,0.8890000000000002,Turkey
1829-03-01,5.7810000000000015,Turkey
1829-04-01,11.87,Turkey
1829-05-01,14.595,Turkey
1829-06-01,17.896,Turkey
1829-07-01,22.039,Turkey
1829-08-01,22.368000000000002,Turkey
1829-09-01,18.167,Turkey
1829-10-01,12.556,Turkey
1829-11-01,5.940999999999999,Turkey
1829-12-01,0.6299999999999999,Turkey
1830-01-01,-0.2990000000000001,Turkey
1830-02-01,1.3350000000000002,Turkey
1830-03-01,3.354,Turkey
1830-04-01,9.609000000000002,Turkey
1830-05-01,15.395999999999999,Turkey
1830-06-01,19.989,Turkey
1830-07-01,22.681,Turkey
1830-08-01,23.054000000000002,Turkey
1830-09-01,17.947,Turkey
1830-10-01,11.238,Turkey
1830-11-01,7.5939999999999985,Turkey
1830-12-01,5.6789999999999985,Turkey
1831-01-01,0.3240000000000001,Turkey
1831-02-01,1.403,Turkey
1831-03-01,5.4510000000000005,Turkey
1831-04-01,9.352,Turkey
1831-05-01,15.415999999999999,Turkey
1831-06-01,19.626,Turkey
1831-07-01,21.768,Turkey
1831-08-01,21.173000000000002,Turkey
1831-09-01,16.558,Turkey
1831-10-01,11.247,Turkey
1831-11-01,6.856,Turkey
1831-12-01,1.838,Turkey
1832-01-01,-0.2250000000000001,Turkey
1832-02-01,-0.4049999999999998,Turkey
1832-03-01,3.221,Turkey
1832-04-01,8.231000000000002,Turkey
1832-05-01,14.362,Turkey
1832-06-01,18.528,Turkey
1832-07-01,20.92,Turkey
1832-08-01,20.549000000000003,Turkey
1832-09-01,16.595,Turkey
1832-10-01,11.380999999999998,Turkey
1832-11-01,4.813999999999999,Turkey
1832-12-01,0.4750000000000001,Turkey
1833-01-01,-1.421,Turkey
1833-02-01,2.451,Turkey
1833-03-01,4.6110000000000015,Turkey
1833-04-01,9.751,Turkey
1833-05-01,14.892,Turkey
1833-06-01,20.289,Turkey
1833-07-01,22.595,Turkey
1833-08-01,21.269000000000002,Turkey
1833-09-01,18.136,Turkey
1833-10-01,11.208,Turkey
1833-11-01,6.871,Turkey
1833-12-01,2.832,Turkey
1834-01-01,0.39,Turkey
1834-02-01,-1.0769999999999995,Turkey
1834-03-01,5.247999999999998,Turkey
1834-04-01,8.943999999999997,Turkey
1834-05-01,16.394000000000002,Turkey
1834-06-01,19.352,Turkey
1834-07-01,21.714,Turkey
1834-08-01,21.852,Turkey
1834-09-01,18.71,Turkey
1834-10-01,11.667000000000002,Turkey
1834-11-01,7.487,Turkey
1834-12-01,1.848,Turkey
1835-01-01,1.052,Turkey
1835-02-01,2.524,Turkey
1835-03-01,5.324,Turkey
1835-04-01,9.194,Turkey
1835-05-01,14.157,Turkey
1835-06-01,18.487000000000002,Turkey
1835-07-01,21.389,Turkey
1835-08-01,20.491,Turkey
1835-09-01,15.512999999999998,Turkey
1835-10-01,13.653,Turkey
1835-11-01,5.638,Turkey
1835-12-01,0.14500000000000002,Turkey
1836-01-01,-2.0700000000000003,Turkey
1836-02-01,0.8660000000000001,Turkey
1836-03-01,7.35,Turkey
1836-04-01,9.532,Turkey
1836-05-01,13.838,Turkey
1836-06-01,19.232000000000006,Turkey
1836-07-01,20.802,Turkey
1836-08-01,20.681,Turkey
1836-09-01,17.889999999999993,Turkey
1836-10-01,13.874,Turkey
1836-11-01,7.616,Turkey
1836-12-01,4.497,Turkey
1837-01-01,0.996,Turkey
1837-02-01,0.016000000000000014,Turkey
1837-03-01,5.0969999999999995,Turkey
1837-04-01,10.418,Turkey
1837-05-01,14.293,Turkey
1837-06-01,18.115,Turkey
1837-07-01,20.866,Turkey
1837-08-01,21.777,Turkey
1837-09-01,18.707,Turkey
1837-10-01,10.49,Turkey
1837-11-01,6.643,Turkey
1837-12-01,0.4789999999999997,Turkey
1838-01-01,-3.7110000000000003,Turkey
1838-02-01,1.8520000000000003,Turkey
1838-03-01,4.626,Turkey
1838-04-01,8.875,Turkey
1838-05-01,13.994000000000002,Turkey
1838-06-01,17.974,Turkey
1838-07-01,21.053,Turkey
1838-08-01,21.103,Turkey
1838-09-01,18.567999999999998,Turkey
1838-10-01,10.728000000000002,Turkey
1838-11-01,8.424,Turkey
1838-12-01,1.7519999999999998,Turkey
1839-01-01,0.139,Turkey
1839-02-01,2.161,Turkey
1839-03-01,1.689,Turkey
1839-04-01,7.651000000000002,Turkey
1839-05-01,13.493,Turkey
1839-06-01,18.825000000000006,Turkey
1839-07-01,22.434,Turkey
1839-08-01,23.82200000000001,Turkey
1839-09-01,18.327,Turkey
1839-10-01,12.389000000000001,Turkey
1839-11-01,7.593,Turkey
1839-12-01,0.8619999999999997,Turkey
1840-01-01,-0.6159999999999999,Turkey
1840-02-01,0.19500000000000028,Turkey
1840-03-01,2.532,Turkey
1840-04-01,7.000000000000001,Turkey
1840-05-01,13.915999999999999,Turkey
1840-06-01,18.076,Turkey
1840-07-01,24.175,Turkey
1840-08-01,21.862,Turkey
1840-09-01,18.374,Turkey
1840-10-01,12.901,Turkey
1840-11-01,8.291,Turkey
1840-12-01,-0.3860000000000001,Turkey
1841-01-01,0.5249999999999999,Turkey
1841-02-01,0.31199999999999983,Turkey
1841-03-01,2.4219999999999997,Turkey
1841-04-01,9.269000000000002,Turkey
1841-05-01,14.212,Turkey
1841-06-01,19.554000000000002,Turkey
1841-07-01,24.192,Turkey
1841-08-01,22.523000000000003,Turkey
1841-09-01,19.165,Turkey
1841-10-01,14.673,Turkey
1841-11-01,7.3329999999999975,Turkey
1841-12-01,3.524,Turkey
1842-01-01,-0.3440000000000001,Turkey
1842-02-01,0.3370000000000002,Turkey
1842-03-01,5.287000000000001,Turkey
1842-04-01,9.263000000000002,Turkey
1842-05-01,14.144,Turkey
1842-06-01,18.991000000000003,Turkey
1842-07-01,21.265,Turkey
1842-08-01,21.462000000000003,Turkey
1842-09-01,18.473,Turkey
1842-10-01,12.47,Turkey
1842-11-01,8.805,Turkey
1842-12-01,3.491,Turkey
1843-01-01,1.473,Turkey
1843-02-01,5.074,Turkey
1843-03-01,5.322,Turkey
1843-04-01,9.517000000000001,Turkey
1843-05-01,13.364,Turkey
1843-06-01,18.534000000000002,Turkey
1843-07-01,21.886,Turkey
1843-08-01,21.244,Turkey
1843-09-01,16.845,Turkey
1843-10-01,13.177,Turkey
1843-11-01,6.97,Turkey
1843-12-01,1.879,Turkey
1844-01-01,0.259,Turkey
1844-02-01,4.126,Turkey
1844-03-01,5.688,Turkey
1844-04-01,7.128000000000001,Turkey
1844-05-01,13.796,Turkey
1844-06-01,18.238000000000003,Turkey
1844-07-01,22.73,Turkey
1844-08-01,22.231,Turkey
1844-09-01,18.206,Turkey
1844-10-01,12.496,Turkey
1844-11-01,7.382999999999999,Turkey
1844-12-01,-0.4819999999999998,Turkey
1845-01-01,-0.8390000000000002,Turkey
1845-02-01,1.116,Turkey
1845-03-01,6.414,Turkey
1845-04-01,10.315,Turkey
1845-05-01,15.148,Turkey
1845-06-01,18.896,Turkey
1845-07-01,23.28,Turkey
1845-08-01,22.416,Turkey
1845-09-01,17.049,Turkey
1845-10-01,13.129000000000001,Turkey
1845-11-01,6.880999999999999,Turkey
1845-12-01,3.139,Turkey
1846-01-01,1.645,Turkey
1846-02-01,2.212,Turkey
1846-03-01,6.185,Turkey
1846-04-01,10.394,Turkey
1846-05-01,14.532,Turkey
1846-06-01,17.919,Turkey
1846-07-01,22.927,Turkey
1846-08-01,23.234,Turkey
1846-09-01,18.89,Turkey
1846-10-01,13.94,Turkey
1846-11-01,4.8919999999999995,Turkey
1846-12-01,5.465,Turkey
1847-01-01,-0.77,Turkey
1847-02-01,3.2710000000000004,Turkey
1847-03-01,4.362,Turkey
1847-04-01,10.854000000000001,Turkey
1847-05-01,15.183,Turkey
1847-06-01,19.344,Turkey
1847-07-01,23.48,Turkey
1847-08-01,22.931,Turkey
1847-09-01,19.542,Turkey
1847-10-01,12.523,Turkey
1847-11-01,6.9510000000000005,Turkey
1847-12-01,-0.2769999999999997,Turkey
1848-01-01,-1.61,Turkey
1848-02-01,1.7180000000000002,Turkey
1848-03-01,5.672999999999999,Turkey
1848-04-01,10.811000000000002,Turkey
1848-05-01,14.364999999999998,Turkey
1848-06-01,21.132,Turkey
1848-07-01,23.426,Turkey
1848-08-01,23.188000000000002,Turkey
1848-09-01,17.473,Turkey
1848-10-01,14.194,Turkey
1848-11-01,8.493,Turkey
1848-12-01,0.5419999999999998,Turkey
1849-01-01,-0.6759999999999999,Turkey
1849-02-01,0.8190000000000002,Turkey
1849-03-01,4.372,Turkey
1849-04-01,10.123,Turkey
1849-05-01,14.694,Turkey
1849-06-01,19.559,Turkey
1849-07-01,22.122,Turkey
1849-08-01,22.42,Turkey
1849-09-01,18.078,Turkey
1849-10-01,13.685,Turkey
1849-11-01,8.623999999999999,Turkey
1849-12-01,2.651,Turkey
1850-01-01,-0.8809999999999999,Turkey
1850-02-01,0.8330000000000002,Turkey
1850-03-01,3.571,Turkey
1850-04-01,8.264000000000001,Turkey
1850-05-01,13.105,Turkey
1850-06-01,19.181,Turkey
1850-07-01,22.814,Turkey
1850-08-01,23.148000000000003,Turkey
1850-09-01,17.506999999999998,Turkey
1850-10-01,13.925,Turkey
1850-11-01,7.169,Turkey
1850-12-01,1.663,Turkey
1851-01-01,-0.07000000000000006,Turkey
1851-02-01,1.0030000000000003,Turkey
1851-03-01,5.526,Turkey
1851-04-01,10.213,Turkey
1851-05-01,17.631,Turkey
1851-06-01,18.872,Turkey
1851-07-01,22.745,Turkey
1851-08-01,23.521,Turkey
1851-09-01,18.819000000000006,Turkey
1851-10-01,13.677,Turkey
1851-11-01,9.774,Turkey
1851-12-01,1.3430000000000002,Turkey
1852-01-01,0.562,Turkey
1852-02-01,1.6870000000000005,Turkey
1852-03-01,3.74,Turkey
1852-04-01,8.180000000000001,Turkey
1852-05-01,14.356,Turkey
1852-06-01,19.327,Turkey
1852-07-01,21.933000000000003,Turkey
1852-08-01,22.033,Turkey
1852-09-01,18.179,Turkey
1852-10-01,14.423,Turkey
1852-11-01,8.818999999999997,Turkey
